Dept 1,Dept 2,Dept 3,Dept 4,Dept 5,ltv
86,10,60,5,29,5792
68,74,68,47,86,6510
95,70,12,81,9,6984
86,87,56,67,85,5986
6,71,38,50,94,5564
16,18,47,7,91,5856
98,81,26,32,4,4903
94,87,91,69,83,7456
24,52,30,85,38,8479
4,80,45,1,63,5327
70,23,43,50,24,7830
18,5,87,16,13,5016
96,70,19,80,74,6218
71,77,34,19,33,5406
51,16,81,97,91,7117
82,86,69,4,94,6128
70,7,61,62,4,6606
97,51,77,29,61,5897
73,95,13,73,54,6306
10,26,2,45,11,4530
77,12,36,4,55,5361
62,23,46,31,36,5253
5,56,15,95,70,5693
40,71,3,31,59,6990
50,24,7,92,75,5334
19,35,71,55,21,5818
36,56,86,58,18,5710
68,25,99,56,64,6602
8,32,30,65,78,0
61,52,79,14,14,5627
30,45,91,3,26,5442
16,23,1,17,66,4528
47,66,63,1,99,6060
20,36,70,87,86,6387
3,45,1,0,85,4685
46,98,41,12,19,5358
77,69,41,62,83,7559
29,81,0,73,63,5598
96,13,25,61,10,5305
36,27,2,48,72,4280
31,16,33,46,30,4829
98,8,65,73,25,5709
81,94,15,25,75,6016
72,54,54,29,25,6811
46,49,57,8,42,4655
72,98,10,65,93,7965
41,50,48,52,60,5104
89,56,75,41,22,7352
32,38,57,37,17,0
88,96,93,49,39,6691
74,69,73,66,57,7385
45,91,45,98,65,5782
16,67,40,58,98,6118
10,52,34,5,2,4201
40,10,83,48,69,5565
60,12,0,24,81,5493
47,19,94,92,59,6595
69,2,88,25,5,6240
61,80,31,94,51,6730
79,2,51,1,9,4782
51,49,74,10,36,0
7,67,33,61,4,4736
18,77,6,14,57,5848
49,85,15,95,31,5730
37,31,71,56,36,5828
58,31,55,93,2,5776
49,89,91,31,4,6866
70,77,76,79,92,6901
79,77,61,90,87,8024
89,80,23,75,74,6661
28,88,3,71,71,6612
28,43,46,54,88,0
73,85,67,28,45,6118
60,37,93,59,99,7312
43,25,50,21,56,5747
5,33,48,13,85,7220
78,48,54,34,66,3317
79,46,29,41,50,9142
39,15,80,61,34,5537
42,59,65,76,72,6065
65,73,12,33,79,6441
21,83,94,80,77,7173
59,56,11,52,51,4863
53,97,83,50,74,6310
29,30,68,88,75,7108
63,86,47,28,21,5672
18,7,43,91,59,5918
78,39,61,26,97,6905
47,96,44,48,1,5617
67,42,15,34,90,6115
74,82,80,82,10,5661
82,55,49,11,32,0
41,96,16,21,97,5160
75,47,31,4,78,5882
47,68,71,58,64,5724
11,16,0,14,65,4251
21,26,81,50,82,5614
48,87,70,84,46,7284
30,91,54,10,98,5372
45,18,62,26,74,5802
43,25,14,10,19,5107
76,29,79,63,4,6277
17,85,98,62,79,6096
96,57,21,57,83,5841
40,73,57,4,78,6057
25,51,86,50,71,6818
72,78,20,54,91,6796
1,69,36,70,17,6491
66,82,48,94,8,6318
22,80,13,29,3,5152
82,18,94,82,56,7474
78,80,15,77,3,4578
17,16,31,69,52,6472
4,39,68,84,75,5403
90,96,79,90,73,7228
55,14,7,6,26,5854
86,86,72,20,87,6927
81,81,62,55,69,6417
83,42,7,5,69,5660
70,10,47,25,83,6580
23,71,60,31,62,5860
8,59,22,76,68,5440
77,44,23,65,2,6074
60,12,14,52,96,6644
70,42,14,10,94,6291
66,10,2,89,14,4378
93,34,29,64,54,6119
57,23,52,10,7,4440
40,8,95,38,48,6120
52,60,78,2,11,5212
79,3,36,30,6,5452
41,82,12,5,21,5554
59,95,58,33,25,6159
50,80,49,73,42,0
35,25,12,93,13,5278
10,60,17,85,22,4890
6,65,24,87,84,6438
50,16,50,23,22,5056
98,21,72,78,21,6539
9,47,61,68,9,6255
34,20,10,2,86,4992
49,90,86,49,42,6322
8,3,8,72,77,5650
77,45,26,54,82,6881
94,1,7,69,49,5993
76,19,26,43,10,4680
82,65,0,70,44,6617
22,20,30,23,23,4512
19,32,14,76,41,3996
23,65,45,79,6,6429
80,7,0,97,0,4669
89,83,87,17,3,6830
81,46,65,94,81,7512
16,49,61,26,29,5224
11,52,72,47,12,5863
57,5,85,60,64,6566
21,59,74,58,64,5240
8,40,83,49,76,5969
73,7,40,87,59,6253
32,87,83,7,45,5349
56,94,58,11,48,5709
62,46,11,18,49,0
21,31,28,76,87,0
94,92,6,61,10,5804
85,69,72,47,48,5731
14,45,42,5,78,3933
97,44,87,28,33,6106
69,42,80,40,31,6823
31,11,45,24,31,4962
15,15,58,15,93,6036
37,34,20,60,31,6115
32,48,34,54,22,0
41,51,10,1,73,5017
28,65,64,39,58,5522
36,4,71,1,31,5477
42,63,5,48,22,4868
8,0,22,53,34,5286
26,46,2,91,13,5454
24,48,22,97,50,5309
61,6,86,52,59,7141
32,91,19,36,1,4403
94,34,87,53,48,5597
3,68,16,87,73,6026
50,77,80,18,88,7959
62,56,12,8,4,4766
41,16,2,75,45,5015
53,19,21,41,78,5882
39,54,6,68,64,5491
79,59,73,64,98,6724
13,33,46,15,74,6271
21,25,7,7,6,4824
60,39,1,28,24,5426
82,36,15,67,25,5799
0,27,24,32,69,4087
85,23,68,60,84,5964
46,25,92,52,81,5442
29,34,19,32,69,5628
65,20,86,51,82,6346
98,14,47,31,88,6504
34,79,47,10,75,7163
18,51,11,25,48,5452
55,39,79,5,99,5341
58,2,16,9,11,4492
46,67,81,17,33,0
31,85,46,24,32,6132
13,57,33,47,3,5539
23,89,57,87,84,5970
50,35,95,88,55,5969
42,17,79,79,33,6710
75,44,50,94,82,0
44,73,39,48,35,5846
21,25,54,72,24,8187
88,8,18,98,89,5701
73,79,9,59,69,0
72,56,0,66,35,6427
51,95,23,78,42,7092
34,62,58,60,95,5960
17,6,78,68,28,4922
91,77,17,41,90,6173
66,85,17,40,6,5823
74,62,79,53,24,6374
3,40,33,75,83,0
84,89,99,8,14,7191
62,25,21,44,73,8607
23,70,95,86,49,6546
50,82,75,51,15,5746
56,24,69,70,46,6372
0,48,93,30,5,5492
93,59,21,19,61,6147
0,71,76,84,51,6158
14,73,82,37,80,6812
48,11,63,38,66,5613
35,38,28,74,85,6994
29,95,25,31,27,4571
78,40,54,89,52,6944
51,13,32,31,97,5571
37,32,75,7,9,4770
91,90,21,55,16,6853
97,62,21,38,85,5609
78,58,42,61,89,6494
83,19,94,18,53,6225
91,97,2,83,77,7697
47,81,10,95,78,6675
79,88,63,94,52,5828
2,60,42,6,46,6311
9,28,0,30,26,5163
57,94,59,17,14,6023
63,31,16,50,17,5901
47,49,76,92,56,6707
97,64,78,45,57,6419
69,97,5,77,1,5405
69,24,13,43,42,4322
48,84,17,38,33,4812
76,77,57,85,68,6708
90,23,53,96,76,6455
54,36,56,63,36,5922
84,37,44,79,0,6090
35,27,8,79,35,4393
51,95,13,85,79,6815
8,96,12,32,63,4756
24,69,65,36,70,6075
56,21,68,60,92,6765
64,4,82,66,71,5897
6,22,23,95,61,4058
64,51,45,32,93,6107
79,4,24,48,43,5294
25,37,47,51,63,5140
44,54,47,11,94,5677
16,81,95,90,69,6623
91,94,21,58,27,6392
99,8,71,97,75,6400
94,99,53,6,7,5749
86,84,53,26,12,5916
51,40,2,19,10,5578
56,97,43,65,96,7358
6,94,91,58,26,5669
80,90,77,12,33,6708
89,62,25,24,0,6159
19,14,20,91,98,5593
12,83,83,3,59,5831
93,94,40,3,62,6775
48,18,12,79,19,5471
71,10,20,27,79,5598
38,66,94,29,7,5379
31,75,74,62,58,5760
33,19,35,34,5,5232
3,43,83,45,30,5330
1,69,38,26,30,5988
37,48,25,6,73,5868
11,72,82,17,79,6710
68,74,45,41,41,6023
44,44,96,67,57,5975
16,84,26,66,35,5363
39,18,92,88,60,6318
80,31,92,22,76,6190
85,22,32,8,25,5028
18,27,16,79,71,5461
67,38,49,6,77,5461
76,93,87,15,97,5325
26,94,7,72,80,6621
71,59,82,27,71,0
83,55,85,79,52,6901
43,93,55,9,82,5889
89,50,10,90,48,6623
77,81,67,61,81,5715
16,32,99,70,29,5565
82,88,44,96,7,8302
59,86,52,79,70,8544
42,86,13,38,79,5759
78,29,98,44,45,6856
2,57,21,60,87,5542
61,46,92,37,30,5447
91,54,79,1,75,5840
88,91,93,38,11,6145
34,4,5,36,38,4014
76,10,46,80,98,6062
95,8,91,30,90,5558
46,75,91,45,19,6269
20,19,16,45,15,4741
90,44,76,44,92,7156
56,85,36,67,96,6512
63,42,24,78,73,5209
47,87,51,79,36,0
34,44,78,63,51,6193
10,84,69,15,33,7232
28,63,33,92,96,6523
67,64,44,87,59,1510
22,4,96,21,62,5804
21,99,43,44,51,4844
88,14,3,24,42,4821
77,81,74,30,68,6995
78,92,64,83,2,6580
59,91,87,12,52,6772
95,73,94,56,0,7135
76,20,89,55,79,6103
55,20,68,60,26,6616
68,38,70,36,70,6726
35,55,18,23,19,4171
90,5,71,87,56,5940
85,74,85,97,98,8235
32,82,86,13,1,5540
71,34,92,79,87,5446
5,21,27,20,28,5143
8,30,99,92,49,6605
72,19,43,4,61,5430
22,41,66,10,12,5750
74,6,33,44,41,3590
53,87,22,4,62,5642
70,97,97,51,72,6692
11,12,64,76,3,5723
36,27,50,67,78,5828
73,59,83,79,99,7083
88,86,23,46,45,6291
10,64,64,70,15,0
95,52,62,15,18,5730
4,18,35,75,76,6061
34,28,40,68,77,0
42,3,17,23,54,4515
68,7,13,87,46,4639
88,8,64,61,50,5787
26,44,51,75,0,5494
15,94,37,11,59,5813
57,32,61,94,59,5530
4,74,51,10,39,4408
72,76,19,89,49,6540
96,57,28,34,82,5693
68,4,85,4,68,6757
15,60,51,11,90,6310
95,88,97,50,44,5895
88,6,40,25,52,5613
91,49,67,53,93,6590
99,31,50,93,9,5687
61,90,65,17,99,7482
75,37,56,1,50,5826
40,6,82,15,40,4868
12,38,93,13,86,4786
75,21,6,68,62,5237
65,74,50,87,92,7165
95,19,42,34,3,5013
40,92,27,18,36,6098
28,38,93,69,21,6431
21,19,15,63,36,5162
18,19,60,10,95,6313
36,73,3,92,69,6066
1,67,89,22,78,5768
16,35,0,81,19,5647
45,43,62,52,98,6391
22,38,10,75,79,6391
74,0,82,52,15,5404
0,16,56,8,86,6352
14,54,70,63,17,5918
50,66,21,61,69,4771
91,52,1,49,41,5965
1,24,9,9,36,4723
57,60,99,45,31,5973
16,28,31,21,37,4777
34,61,42,35,76,6349
20,24,13,42,56,5382
92,87,26,37,19,5834
83,76,98,97,19,6784
84,2,91,65,96,6289
5,20,83,12,96,7117
56,1,47,61,89,7320
86,35,66,24,75,6996
56,4,51,78,63,5724
98,31,88,91,58,6813
2,36,6,17,57,5265
14,26,40,95,28,5942
77,66,17,57,45,5819
6,1,96,71,7,4573
0,91,3,28,46,4617
5,71,79,4,33,4904
57,70,17,10,56,6092
0,75,42,6,5,5419
84,44,50,41,63,7289
63,37,18,30,25,4783
95,97,9,16,61,6973
79,97,59,64,43,6134
69,40,3,63,70,5178
69,1,93,8,70,4466
34,55,64,54,29,6690
56,93,7,62,75,5810
65,1,68,36,37,5553
17,47,65,38,5,6399
65,5,6,20,45,5033
73,25,21,32,46,5357
44,45,63,75,11,5984
99,72,42,12,9,5654
79,99,22,76,73,5780
83,39,84,49,93,6608
32,11,87,33,77,6287
54,83,44,12,31,5964
83,21,79,34,83,7334
96,71,2,3,87,6821
83,82,59,0,30,5829
65,40,98,15,5,6273
61,11,55,53,83,6955
54,87,65,61,80,7361
20,28,63,52,63,4606
20,65,70,3,39,5598
79,48,45,32,81,6009
14,82,27,14,33,5942
51,10,88,16,19,4749
70,12,96,20,55,6090
89,71,69,82,54,7151
61,77,99,84,6,6129
95,69,77,39,85,6190
67,67,36,72,52,5776
2,82,12,34,28,5280
45,1,82,22,6,4653
79,18,36,80,11,6882
73,55,53,44,35,5930
72,44,24,76,45,6568
48,73,82,90,82,6196
66,25,19,95,28,5692
35,64,19,92,73,4537
96,57,11,85,78,6789
95,62,77,94,25,6704
33,30,73,71,78,6335
23,0,26,36,66,5254
18,92,57,73,66,6498
20,80,73,98,54,6515
99,98,91,33,11,6980
46,91,0,91,25,5421
41,80,93,78,15,6376
66,44,53,43,20,6046
5,8,90,99,79,5189
48,66,71,76,23,6861
33,71,78,71,67,6102
7,23,13,25,0,4803
75,64,34,60,98,5898
70,50,60,4,72,5900
80,63,37,20,17,5060
7,13,65,23,64,6263
83,52,88,89,0,5666
34,95,88,89,51,7975
63,80,5,68,0,5130
18,9,87,28,10,5131
86,19,27,85,23,6420
90,27,32,40,68,6688
19,79,15,23,89,6146
29,10,98,10,64,6474
15,68,67,2,6,6665
53,43,33,27,36,5651
31,74,17,92,97,6145
66,31,34,88,92,5482
17,37,45,58,28,0
64,11,9,42,60,5445
53,23,85,77,49,5433
1,52,98,61,68,6854
4,96,11,93,52,5824
26,3,60,90,42,6792
43,96,59,22,11,5660
14,33,16,66,13,4804
75,79,77,2,72,6467
52,93,72,55,2,6258
80,71,8,29,45,6240
45,83,3,89,67,6120
91,8,91,92,21,5965
6,39,2,42,89,4510
17,85,41,60,38,5586
98,29,39,19,73,6018
46,21,16,71,46,4965
66,48,13,58,15,5089
88,19,9,82,61,6178
64,92,78,55,43,7085
5,56,89,72,68,5087
18,15,8,26,33,4425
39,25,98,52,50,6220
79,61,71,96,46,5802
38,55,78,72,81,7652
64,25,2,30,24,4297
63,63,78,3,60,7246
98,76,96,85,80,8145
26,83,46,90,2,5476
71,78,66,92,92,7193
32,32,57,40,69,5613
93,72,78,0,69,5710
89,65,51,89,72,6762
41,5,30,37,48,5609
40,77,54,6,34,5555
15,18,20,37,47,4948
58,83,91,91,91,6715
2,33,69,85,7,5968
3,3,87,78,38,4999
61,59,18,90,78,6475
52,9,62,91,18,5904
2,38,30,45,52,4637
1,83,53,99,5,5898
25,65,78,0,30,6270
44,59,66,64,96,6554
94,42,15,79,84,6955
43,32,93,19,2,6209
17,8,59,35,29,4706
23,35,45,85,42,8925
14,27,99,56,6,4586
57,7,66,14,92,6354
85,48,23,60,66,6682
44,61,71,60,32,7364
93,26,43,36,89,6142
4,56,91,9,20,5791
45,40,95,16,75,5688
64,33,72,86,0,6401
87,34,7,43,3,5666
37,81,38,60,51,6836
59,21,84,47,57,8105
73,28,16,10,15,3583
38,11,14,51,79,5167
29,73,0,47,64,6197
33,81,44,27,85,5832
40,65,67,19,82,6802
32,61,93,46,64,4826
9,10,88,81,26,5959
17,9,81,31,65,5511
97,67,20,3,14,5467
94,89,65,45,84,6417
52,29,6,35,99,5483
99,49,45,56,13,6111
62,84,97,18,3,6530
1,78,29,70,18,4686
66,91,42,26,56,6730
47,94,94,21,6,6084
28,20,40,54,9,5832
61,71,57,94,49,5711
69,55,51,46,24,5709
1,47,49,69,65,5962
72,62,12,5,92,5459
69,36,57,79,67,0
72,18,12,68,16,6767
48,66,7,36,51,5318
0,47,39,65,0,5444
59,20,20,87,62,5915
20,40,77,78,76,6528
82,97,53,90,38,7528
82,70,18,77,76,0
12,65,98,82,85,6352
55,45,83,57,54,6499
42,33,14,36,51,6409
73,10,69,5,98,5785
32,27,47,96,43,5401
7,28,23,79,15,5166
1,18,60,74,13,4423
95,37,96,72,87,6454
30,44,72,68,36,7350
26,15,49,13,51,5046
88,4,15,60,60,5798
19,65,12,85,83,5956
34,67,33,83,9,5835
64,29,59,75,2,6337
14,41,23,26,46,5033
0,97,56,13,28,4860
84,59,56,90,21,5394
74,18,18,6,60,5031
75,49,72,80,71,6564
0,76,6,66,18,4958
49,0,51,86,26,5487
67,62,24,62,68,0
51,83,81,7,38,0
46,11,97,30,11,4801
40,25,50,92,11,5645
52,51,24,44,52,8905
16,94,20,17,95,5410
39,28,62,0,99,6205
35,21,91,22,9,4831
7,91,97,12,22,6021
93,18,50,23,21,6582
96,57,91,10,15,6629
26,71,57,34,88,6559
87,69,75,90,47,6379
56,92,84,15,51,6377
71,55,50,81,65,0
53,18,65,91,25,6825
40,36,71,51,2,6222
81,4,2,70,44,5816
38,18,94,84,99,6864
9,31,34,0,42,3855
68,62,11,83,2,5405
89,87,55,79,19,7835
8,83,33,1,12,5486
83,89,38,15,52,7608
35,14,40,77,65,6063
64,49,94,68,28,5812
57,75,86,86,78,6875
13,5,68,59,3,5788
42,70,65,46,13,6287
27,8,28,87,34,6480
17,10,94,61,48,6479
48,51,6,30,97,4406
52,13,25,22,21,5348
83,25,57,2,61,7125
78,9,34,12,52,5932
7,4,71,21,33,4349
4,24,94,76,47,6386
54,9,5,82,31,5510
67,28,29,26,30,5297
57,10,34,44,97,6482
34,38,73,93,73,6409
95,95,46,61,51,6333
87,69,25,31,76,6020
46,20,44,59,38,4624
59,2,93,59,61,6776
28,38,0,92,24,5095
74,19,71,1,13,4516
67,93,96,97,56,6740
69,84,75,89,25,6374
47,9,28,45,30,6091
16,6,28,24,25,3770
10,2,17,70,26,5701
35,80,6,88,39,5768
86,33,21,62,93,6017
74,40,95,13,47,6211
10,17,80,75,67,6121
27,75,7,49,94,6631
44,98,69,17,97,6195
88,57,25,78,4,6361
36,32,31,1,80,6215
30,52,83,32,57,5457
88,43,58,48,92,5294
8,20,44,52,96,5917
92,87,65,82,42,7812
79,36,2,21,18,4696
56,25,31,15,18,5377
52,34,40,34,93,5317
6,20,5,18,74,4779
83,74,80,60,54,7753
10,74,85,99,57,6869
25,27,0,76,24,5773
63,16,62,62,72,6122
59,84,28,78,84,7599
66,83,98,89,41,6598
96,99,89,43,50,7028
89,0,74,55,40,6649
69,78,55,12,19,5963
43,99,77,59,16,6304
0,6,60,48,83,5719
7,64,9,7,66,4774
10,52,76,63,30,5379
98,25,43,80,71,6476
43,93,34,93,68,7120
53,31,21,27,12,5839
62,54,42,95,52,5937
60,67,56,88,76,0
98,68,5,27,72,6537
49,5,73,51,35,5734
25,66,0,53,20,5783
94,77,26,85,89,7163
11,40,73,55,89,7023
36,47,11,37,33,5662
2,16,64,45,61,5897
28,31,14,32,46,5921
52,78,91,73,39,6470
88,70,44,66,67,6574
90,55,94,98,5,6670
66,84,78,39,17,7774
21,60,55,71,62,6441
38,8,69,46,57,5688
79,56,92,30,53,5509
38,64,60,35,5,5837
14,20,69,1,22,4305
39,29,25,59,42,5566
87,36,87,92,18,6830
0,4,52,27,62,4546
38,19,12,25,14,4413
46,17,84,99,26,6564
89,86,30,65,47,6807
82,94,52,54,46,5687
60,17,93,15,77,6117
49,59,83,69,64,6428
58,89,69,17,5,6593
37,50,97,65,93,6971
9,73,47,67,92,5855
61,72,59,40,7,6131
4,32,84,68,46,5462
93,83,16,68,51,6380
72,30,71,59,2,5575
78,17,48,43,13,4981
49,71,17,86,84,5564
95,66,85,60,20,6495
39,49,48,98,36,5765
89,98,7,58,73,6103
93,39,13,89,57,6001
47,20,73,40,4,5582
18,22,89,21,8,5709
8,31,70,51,58,4964
34,29,24,48,73,6546
77,32,77,70,27,6388
98,8,75,61,64,6562
55,47,84,53,95,7562
41,88,88,11,22,6861
92,79,79,77,86,6923
24,81,88,21,8,6573
72,36,67,46,88,5467
28,15,21,34,11,4922
76,24,7,17,9,6005
86,79,65,73,47,0
85,10,61,47,18,4942
67,88,84,95,57,7616
12,74,21,25,95,5759
17,28,80,10,44,6603
99,32,30,17,77,6788
62,29,11,75,43,5459
77,28,68,54,1,5937
7,17,54,49,84,4538
12,64,65,64,63,5883
39,52,92,76,32,5338
3,91,22,46,96,5524
58,2,42,84,25,6873
11,65,61,33,54,5446
2,30,12,0,43,3965
74,33,91,99,27,5347
14,57,15,72,92,5726
71,62,74,76,86,6223
17,22,98,30,69,5537
95,49,72,67,7,5683
92,42,99,98,82,7657
22,38,79,84,98,7164
38,47,65,93,40,5909
76,63,21,75,21,6334
68,34,25,0,32,4770
32,72,19,32,38,6651
89,98,91,12,66,7309
74,4,17,52,56,5435
12,97,22,33,84,6594
59,16,8,1,51,4979
40,10,12,83,66,6017
5,68,96,56,79,6830
41,93,99,78,6,5947
28,44,15,55,75,5845
9,50,90,87,57,5645
33,40,65,79,40,6291
13,99,88,99,4,7055
11,88,50,14,99,6701
73,46,21,39,13,6223
56,92,72,7,46,6729
82,18,91,64,90,6505
50,64,84,56,78,5926
47,69,88,42,23,6740
7,72,46,92,21,4882
45,90,45,74,36,7531
49,51,16,67,46,4819
89,73,83,43,43,6158
82,46,88,45,49,6014
85,58,60,41,50,5946
10,75,37,94,42,5839
0,93,39,96,55,6561
77,4,91,65,86,6156
2,91,52,24,44,5897
60,87,73,10,24,7043
62,62,41,99,75,7439
1,83,35,86,68,6664
60,15,24,25,55,4858
24,65,25,89,18,4688
82,3,39,89,59,6898
98,35,59,57,16,5062
56,28,24,93,19,6587
75,74,46,85,75,6662
61,82,27,91,77,8390
99,42,51,10,60,5249
28,50,89,67,59,5222
58,93,32,82,14,7208
73,44,94,94,86,6795
95,30,28,44,29,6508
26,97,64,20,7,4827
21,82,27,4,29,4682
32,86,88,23,43,8206
39,35,65,40,88,6059
32,12,61,40,61,5855
89,96,68,75,99,7874
45,92,10,34,4,4183
33,76,96,50,65,6899
11,73,61,78,58,5686
40,38,79,89,76,5779
70,26,28,39,58,8897
25,14,37,85,76,5609
80,42,48,78,95,6735
56,65,46,35,96,5235
86,96,23,83,92,7312
86,57,5,86,84,6464
61,78,73,90,23,6921
64,30,27,62,58,8680
77,39,96,82,14,5901
48,38,85,86,84,5784
32,75,29,82,24,5571
61,86,52,16,12,6879
83,38,45,78,43,3965
47,9,72,53,90,5384
14,49,36,17,78,5195
79,43,64,69,90,6811
68,9,99,66,19,4819
26,91,91,99,36,6579
11,2,5,15,92,5124
26,25,10,78,15,5080
56,40,6,81,99,6846
68,31,82,11,5,6194
4,43,36,59,52,5283
31,1,14,66,22,5504
75,61,15,36,66,6316
79,67,63,64,86,6534
77,2,55,37,42,6275
76,35,49,7,33,6338
80,94,4,44,50,5577
16,45,84,51,70,6275
50,71,16,20,40,6575
96,81,71,80,43,6920
2,43,70,90,44,5225
11,31,49,64,92,0
74,25,73,70,20,6996
9,67,20,99,44,4707
25,61,15,17,24,4697
59,87,27,62,43,5845
6,90,14,58,50,4893
2,31,98,73,35,5168
76,35,52,88,32,6579
44,15,40,7,39,4853
55,4,18,33,80,5072
53,10,97,25,59,6523
62,37,67,20,14,5021
46,53,2,52,0,5666
80,76,54,47,53,5888
56,43,47,64,30,7743
38,25,77,41,27,5565
17,52,95,23,2,4321
75,50,78,43,11,5769
47,5,1,50,17,4712
66,43,35,60,10,8692
81,32,18,31,88,6009
96,94,6,14,21,4737
49,34,23,36,99,4643
13,26,44,2,62,4740
63,34,39,64,88,5969
53,74,1,53,44,4970
23,29,3,96,17,4351
8,43,99,64,25,5782
17,96,5,68,71,5994
99,71,75,87,60,7523
0,63,80,0,64,6112
89,64,4,45,29,6964
68,30,89,3,57,5856
75,98,91,16,81,7079
73,22,98,70,24,7271
21,25,6,13,35,4478
91,68,20,99,38,5954
92,88,15,36,49,4338
50,29,16,6,42,5162
73,72,74,57,57,6864
89,74,22,0,64,6826
29,39,99,75,59,6301
44,46,12,45,8,4383
58,7,36,86,69,7363
62,90,73,30,95,5841
93,57,90,78,59,6662
82,51,55,48,61,6151
42,83,32,4,35,6413
92,22,29,61,57,5628
21,94,82,98,2,5738
95,82,30,81,9,6518
95,71,89,85,27,7767
44,59,89,73,7,6249
72,5,0,26,51,5119
82,91,2,6,53,6056
40,83,94,21,65,6134
62,16,9,71,56,6136
96,80,57,82,95,8045
39,39,76,56,69,6339
76,48,93,43,51,7116
11,85,66,76,29,0
76,15,56,11,46,6395
20,13,83,69,19,6081
60,10,96,54,43,5161
54,75,37,51,98,6487
40,7,68,25,22,4658
73,89,89,89,72,5843
76,3,0,32,91,5192
60,15,53,76,86,6249
41,84,76,98,66,7634
22,13,16,37,91,4845
24,6,27,83,41,6211
62,8,21,53,69,6409
81,58,13,91,97,6271
93,63,1,12,64,5930
22,80,73,16,88,5700
60,30,98,8,55,5028
37,13,44,67,2,4628
40,10,7,33,65,5134
9,41,47,87,38,8843
3,66,42,66,3,4695
45,62,0,10,18,5574
98,2,4,29,92,6585
62,48,44,97,53,7370
86,48,29,21,19,5745
16,40,11,35,99,5402
57,16,78,85,91,5843
18,77,2,84,75,5466
56,1,96,12,85,5772
10,66,74,68,55,5900
14,86,22,38,50,5459
45,27,98,52,38,6967
27,67,87,76,76,6938
67,16,6,9,57,5117
57,65,78,61,68,7665
71,74,3,43,89,6659
40,72,20,19,11,5217
50,50,69,79,47,6082
63,71,99,11,33,5314
0,76,76,36,48,6786
22,87,98,2,19,6632
14,44,68,59,59,5988
92,26,20,15,61,5483
1,16,72,7,7,5074
45,74,98,80,68,6789
62,40,37,78,28,5698
4,9,55,78,85,5942
24,92,43,87,47,6297
40,14,82,62,56,6446
5,58,51,56,36,5371
80,20,27,99,8,6006
89,32,35,75,10,5798
98,18,78,57,75,6871
75,15,26,29,89,5989
16,25,21,8,36,5559
34,48,81,83,86,6803
47,14,68,45,98,5425
97,51,64,29,37,6307
87,27,66,8,93,5328
22,54,3,23,82,6087
93,44,64,28,88,6239
63,98,14,54,59,6140
51,84,68,49,54,6551
23,81,77,69,81,6532
91,96,19,96,28,7718
23,95,19,76,6,5141
16,62,27,44,3,4606
36,52,96,47,64,6425
84,49,92,60,33,6500
54,89,35,92,82,6747
92,82,73,28,45,6005
56,52,38,73,52,0
3,53,72,69,11,4604
82,58,37,93,75,7639
88,98,79,97,86,7591
64,92,94,17,56,6804
59,54,77,0,15,5583
6,76,15,10,19,4498
29,38,62,61,40,5970
75,41,97,54,92,6505
6,78,2,5,47,4384
50,12,20,90,57,5333
75,52,77,24,81,6834
51,24,5,54,65,5233
82,50,25,56,35,9757
76,23,96,54,97,6268
68,86,20,21,38,6375
99,59,82,53,95,8073
95,84,62,1,36,5783
82,24,54,23,91,5879
42,81,81,56,84,6563
66,15,59,58,13,6167
84,98,26,5,69,6628
87,32,1,25,44,4690
26,73,94,30,7,6196
85,37,10,10,90,6368
96,77,13,83,11,7372
68,46,41,37,62,0
31,56,5,33,6,5613
50,66,76,65,62,8088
65,12,71,15,2,4527
18,26,40,63,38,7411
71,28,61,20,12,5788
10,65,13,88,39,5390
58,5,89,20,11,5602
69,31,26,94,93,6628
94,12,27,29,32,5227
76,6,64,24,58,5354
43,33,8,98,75,6181
84,85,44,12,1,6357
98,64,1,16,62,5287
39,81,61,97,47,6834
60,23,74,29,91,6534
0,13,93,52,32,5051
49,53,71,60,0,6474
47,3,88,71,11,5501
10,92,7,43,74,5031
94,96,96,69,70,6109
20,30,55,73,13,5036
99,60,92,88,50,7349
18,16,2,92,99,5139
68,75,82,96,35,6781
42,53,30,91,71,4053
52,3,25,44,87,6000
5,6,7,37,70,5311
48,29,31,22,29,4664
24,84,98,44,26,5362
27,62,91,66,69,5224
78,43,23,9,52,5828
96,0,76,27,98,7234
28,29,23,12,13,3924
80,80,97,57,18,7391
98,40,41,72,98,6006
62,34,37,87,47,6284
36,72,73,57,97,7176
1,80,42,75,47,6683
65,73,55,71,81,6343
17,10,5,21,30,4550
36,13,39,49,10,5476
87,50,25,18,55,5423
24,35,31,20,30,5374
8,97,42,49,91,7106
87,16,16,95,64,5826
1,79,51,26,68,5944
32,41,57,32,81,5920
16,73,73,39,11,5598
60,20,83,44,77,6646
28,44,12,86,59,3134
34,0,57,91,3,5631
19,58,39,26,41,5347
47,61,74,94,90,7151
82,51,39,45,17,7003
99,31,28,69,94,7653
50,44,32,28,13,5813
28,51,19,59,14,5493
9,14,57,30,1,4079
69,34,26,26,89,5754
95,87,16,62,48,6036
50,63,67,90,8,5955
55,7,22,47,38,6187
42,70,44,59,12,3154
3,69,5,93,89,5819
99,10,91,15,21,5445
58,54,32,99,93,6580
59,11,8,51,44,5224
88,4,13,70,10,5265
49,54,93,75,55,6947
38,24,83,27,60,5897
0,80,25,64,94,6055
92,51,24,26,26,5463
2,5,68,9,33,5450
